"indID","sex","min_age","broodID","pairID","mateID","year","hatch_size","par_load","relative_par_load","period","BB","BUVC","YB","YUVC","YC","laydate","Nestbag"
4734853,"M",5,"pir29","4958898_4734853",4958898,2006,6,42,7,"F",21.431393,0.36016,11.791637,0.158272,0.98178,126,1
4734857,"F",3,"pir136","4734857_4593537",4593537,2005,8,30,3.75,"F",10.259475,0.307735,18.460138,0.198796,0.730242,NA,1
4736037,"M",2,"pir109","4959719_4736037",4959719,2006,7,84,12,"F",10.243204,0.448422,16.121942,0.221055,1.042386,NA,1
4736086,"M",3,"pir34","4737680_4736086",4737680,2005,8,88,11,"F",15.107587,0.334651,17.922017,0.210024,0.80166,126,1
4736142,"F",2,"pir4","4736142_4593541",4593541,2005,5,0,0,"F",NA,NA,12.888677,0.237021,0.451769,NA,1
4736142,"F",7,"pir18","4736142_5116815",5116815,2010,6,45,7.5,"F",19.628081,0.354669,17.845605,0.217121,0.549936,123,1
4737679,"F",2,"pir153","4737679_4489384",4489384,2005,6,60,10,"F",9.667723,0.317674,19.125003,0.163323,0.538354,129,1
4737951,"M",2,"pir60","4960399_4737951",4960399,2006,7,108,15.43,"F",16.550598,0.372186,13.052382,0.198316,0.856914,NA,1
4958010,"M",2,"pir129","4377400_4958010",4377400,2006,7,89,12.71,"F",19.024897,0.37336,14.62864,0.193134,0.921344,120,1
4958010,"M",5,"pir129","4959871_4958010",4959871,2009,5,30,6,"F",19.090368,0.382299,16.795913,0.216799,0.958845,128,1
4958099,"M",2,"pir38","NA_4958099",NA,2005,6,49,8.17,"F",12.085723,0.333225,13.070139,0.20558,0.609417,131,2
4958099,"M",3,"pir43","4960577_4958099",4960577,2006,5,45,9,"F",14.936681,0.331406,15.218328,0.211635,0.639408,120,1
4958099,"M",4,"pir121","4960400_4958099",4960400,2007,7,70,10,"F",16.364087,0.414932,15.637431,0.22151,0.663046,110,1
4958960,"M",3,"pir94","4487253_4958960",4487253,2006,6,54,9,"F",12.557478,0.430052,13.263919,0.208905,0.875873,124,1
4958965,"M",3,"pir100","4958899_4958965",4958899,2006,6,85,14.17,"F",15.716955,0.310784,17.385491,0.21418,0.722705,NA,1
4958986,"M",5,"pir77","5118840_4958986",5118840,2009,4,46,11.5,"F",19.260138,0.399594,21.058794,0.22608,0.988039,NA,1
4958986,"M",6,"pir109","4960801_4958986",4960801,2010,7,14,2,"F",18.883054,0.362322,17.292427,0.209659,0.827433,NA,1
4959713,"M",2,"pir140","4959714_4959713",4959714,2006,5,29,5.8,"F",20.876668,0.354642,15.218884,0.182214,0.90821,121,1
4959720,"F",2,"pir104","4959720_4959722",4959722,2006,4,39,9.75,"F",10.935062,0.339803,16.516638,0.186583,0.582792,112,1
4959721,"F",3,"pir103","4959721_4447563",4447563,2006,7,58,8.29,"F",13.580957,0.323239,16.843676,0.192519,0.715373,119,1
4959723,"F",2,"pir76","4959723_4961938",4961938,2006,10,158,15.8,"F",11.652501,0.404357,16.680534,0.220583,0.863204,NA,1
4959724,"F",2,"pir90","4959724_4734560",4734560,2006,5,61,12.2,"F",16.094501,0.345345,19.063502,0.211919,0.74116,NA,1
4959881,"F",2,"pir105","4959881_4593579",4593579,2006,6,61,10.17,"F",10.179881,0.335756,16.690949,0.172951,0.706244,134,1
4960297,"F",2,"pir24","4960297_NA",NA,2006,9,37,4.11,"F",11.886869,0.316746,18.196998,0.16384,0.532615,129,1
4960298,"F",2,"pir9","4960298_4593541",4593541,2006,8,72,9,"F",13.476894,0.339981,11.681529,0.144736,0.888723,NA,1
4960400,"F",2,"pir38","4960400_4958032",4958032,2006,7,111,15.86,"F",10.296075,0.348203,12.977237,0.230814,0.665551,NA,1
4960400,"F",3,"pir121","4960400_4958099",4958099,2007,7,70,10,"F",10.151979,0.414052,15.274301,0.211404,0.727577,110,1
4960476,"M",4,"pir70","5563193_4960476",5563193,2009,7,70,10,"F",12.47331,0.415637,12.378282,0.214147,0.942608,NA,1
4960584,"F",2,"pir133","4960584_4960813",4960813,2006,6,66,11,"F",11.456489,0.312869,14.386749,0.174703,0.655961,110,1
4960593,"M",4,"pir51","5116455_4960593",5116455,2008,6,18,3,"F",17.247783,0.416012,17.129591,0.232239,0.915685,130,1
4960593,"M",5,"pir51","NA_4960593",NA,2009,5,30,6,"F",17.737258,0.388553,16.192961,0.218281,0.871829,NA,1
4960594,"M",2,"pir120","4960595_4960594",4960595,2006,5,67,13.4,"F",14.003569,0.362349,12.946209,0.196675,0.879416,NA,1
4960595,"F",2,"pir120","4960595_4960594",4960594,2006,5,67,13.4,"F",8.859196,0.33037,21.210318,0.180122,0.656335,NA,1
4960595,"F",6,"pir47","4960595_5545387",5545387,2010,7,14,2,"F",11.194433,0.316293,17.186045,0.177825,0.668385,NA,1
4960595,"F",7,"pir49","4960595_4275670",4275670,2011,7,45,6.43,"C",7.912769,0.363377,18.898656,0.239527,0.660123,NA,1
4960626,"F",5,"pir139","4960626_5563291",5563291,2010,7,68,9.71,"F",20.599159,0.328898,22.637516,0.220695,0.648781,128,1
4960626,"F",6,"pir89","4960626_5117646",5117646,2011,6,58,9.67,"C",11.65937,0.334436,19.856775,0.250342,0.912426,124,1
4960801,"F",5,"pir109","4960801_4958986",4958986,2010,7,14,2,"F",17.350322,0.326796,21.475657,0.203013,0.607342,NA,1
4960801,"F",6,"pir77","4960801_4958986",4958986,2011,7,41,5.86,"C",9.166122,0.367361,8.385507,0.260269,0.819874,NA,1
4960813,"M",2,"pir133","4960584_4960813",4960584,2006,6,66,11,"F",18.113456,0.368453,16.806483,0.21071,0.849985,110,1
4961515,"F",2,"pir75","4961515_4595972",4595972,2005,6,0,0,"F",13.883748,0.30507,16.471131,0.191739,0.544923,122,2
4961515,"F",3,"pir75","4961515_4595972",4595972,2006,6,112,18.67,"F",9.908291,0.308852,8.284249,0.202158,0.712505,134,2
4961523,"M",3,"pir88","4961524_4961523",4961524,2006,8,52,6.5,"F",24.119026,0.357529,16.202433,0.215646,0.883253,NA,1
4961524,"F",3,"pir88","4961524_4961523",4961523,2006,8,52,6.5,"F",14.71288,0.314918,17.965455,0.20824,0.577161,NA,1
4961524,"F",4,"pir89","4961524_4961523",4961523,2007,4,61,15.25,"F",15.453918,0.354729,15.108916,0.184117,0.775557,116,1
4961543,"F",2,"pir65","4961543_4961538",4961538,2005,7,50,7.14,"F",11.669976,0.333542,25.347471,0.213714,0.407572,NA,1
4961543,"F",3,"pir28","4961543_4960296",4960296,2006,8,53,6.62,"F",15.570163,0.356543,22.392978,0.171119,0.620754,122,1
4961864,"F",2,"pir48","4961864_5117786",5117786,2007,6,60,10,"F",12.621864,0.373984,16.490539,0.213084,0.667012,111,1
4961964,"M",2,"pir111","4447557_4961964",4447557,2005,4,40,10,"F",14.322325,0.355583,13.980685,0.208847,0.666092,NA,1
4961964,"M",3,"pir202","4447557_4961964",4447557,2006,7,54,7.71,"F",18.859519,0.318988,12.697608,0.171638,1.075799,132,1
5116427,"M",3,"pir69","5116495_5116427",5116495,2009,4,19,4.75,"F",12.902456,0.346366,13.020095,0.20397,0.928349,119,1
5116427,"M",6,"pir48","5597821_5116427",5597821,2012,6,25,4.17,"C",24.31312,0.380174,23.423896,0.244205,0.663404,NA,1
5116439,"F",3,"pir157","5116439_NA",NA,2009,6,46,7.67,"F",14.107753,0.401553,21.497639,0.206336,0.915069,125,1
5116439,"F",4,"pir157","5116439_NA",NA,2010,4,3,0.75,"F",15.847833,0.340089,24.126004,0.205377,0.676768,124,1
5116439,"F",5,"pir153","5116439_5597300",5597300,2011,7,71,10.14,"F",14.183956,0.322192,19.784127,0.179373,0.931379,NA,1
5116446,"M",3,"pir24","5116698_5116446",5116698,2009,2,18,9,"F",9.16357,0.460649,16.105217,0.211991,0.836472,NA,1
5116446,"M",4,"pir25","5118838_5116446",5118838,2010,8,53,6.62,"F",15.703836,0.369909,20.730227,0.20446,0.7573,124,1
5116447,"F",3,"pir2","5116447_NA",NA,2009,3,10,3.33,"F",13.287726,0.375818,15.798244,0.203949,0.867262,117,1
5116447,"F",4,"pir132","5116447_4593375",4593375,2010,4,18,4.5,"F",10.221992,0.32068,13.798524,0.219063,0.71262,NA,1
5116447,"F",6,"pir12","5116447_5563124",5563124,2012,5,5,1,"C",14.88801,0.357695,26.266041,0.227922,0.596302,NA,1
5116447,"F",7,"pir9","5116447_5545068",5545068,2013,5,39,7.8,"F",19.871806,0.39019,16.220889,0.232549,0.586934,NA,1
5116495,"F",3,"pir69","5116495_5116427",5116427,2009,4,19,4.75,"F",14.778579,0.336969,15.831814,0.172919,0.872434,119,1
5116496,"M",3,"pir75","5563936_5116496",5563936,2009,7,92,13.14,"F",12.025831,0.405211,13.362107,0.210223,0.73098,125,2
5116496,"M",7,"pir74","5597053_5116496",5597053,2013,5,110,22,"F",22.783131,0.372686,16.459633,0.219888,0.81308,124,1
5116592,"M",5,"pir127","5597336_5116592",5597336,2010,6,61,10.17,"F",17.945796,0.340088,15.220799,0.217064,0.877282,NA,1
5116698,"F",2,"pir25","5116698_4960485",4960485,2007,5,82,16.4,"F",10.180876,0.391687,16.831817,0.224448,0.691728,135,1
5116821,"F",3,"pir62","5116821_5563435",5563435,2009,6,98,16.33,"F",14.241767,0.373995,15.550496,0.221,0.924941,126,1
5117017,"F",4,"pir94","5117017_NA",NA,2009,6,59,9.83,"F",12.551047,0.349954,15.01609,0.202154,0.761959,NA,1
5117102,"F",2,"pir105","5117102_5117101",5117101,2007,5,34,6.8,"F",16.188589,0.397981,16.298715,0.202447,0.715037,NA,1
5117102,"F",4,"pir107","5117102_5563276",5563276,2009,5,42,8.4,"F",16.952376,0.394469,16.147453,0.210526,0.825196,125,2
