"indID","sex","broodID","year","hatch_size","par_load","relative_par_load","period","BB","BUVC","YB","YUVC","YC","laydate","Nestbag"
6990409,"M","pir41",2013,9,7,0.78,"C",11.483723,0.388494,14.873869,0.230426,0.823091,121,1
6996736,"F","pir22",2013,6,23,3.83,"F",14.41402,0.309031,18.832417,0.187419,0.871198,127,1
6996738,"M","pir22",2013,6,23,3.83,"F",16.620982,0.352955,15.486735,0.189,0.829378,127,1
7207978,"M","pir110",2013,9,24,2.67,"F",16.843567,0.360513,15.880233,0.191223,0.87383,123,1
7208614,"M","pir85",2015,7,51,7.29,"C",7.155119,0.317943,14.766375,0.247452,0.470746,119,1
7208618,"F","pir1",2015,7,37,5.29,"F",8.873535,0.309768,14.051165,0.236679,0.657807,119,1
7530219,"M","pir14",2014,4,31,7.75,"C",9.192446,0.3263,10.724072,0.250933,0.68256,128,1
7530220,"F","pir14",2014,4,31,7.75,"C",8.390279,0.308317,10.179875,0.20819,0.727009,128,1
7530322,"M","pir37",2014,7,53,7.57,"C",10.82218,0.340561,13.265171,0.235234,0.740635,125,1
7530323,"M","pir37",2014,7,53,7.57,"C",10.336373,0.343621,10.201565,0.218068,0.78232,125,1
7530325,"M","pir37",2014,7,53,7.57,"C",10.563035,0.334798,15.322625,0.226761,0.650212,125,1
7530329,"M","pir157",2014,4,17,4.25,"C",8.120403,0.319382,14.696052,0.234139,0.799845,127,1
7530331,"F","pir157",2014,4,17,4.25,"C",8.661385,0.319519,9.982294,0.235388,0.672668,127,1
7530366,"M","pir134",2014,5,74,14.8,"F",22.725555,0.346056,15.271456,0.234384,0.648034,138,1
7530406,"M","pir26",2014,6,23,3.83,"C",9.159332,0.347938,13.061724,0.214136,0.795916,127,1
7530499,"F","pir158",2014,5,5,1,"C",6.989062,0.291192,12.76057,0.217906,0.669355,121,1
7531210,"M","pir113",2015,3,96,32,"F",13.147707,0.346551,17.683322,0.199566,0.683445,110,1
7531211,"M","pir113",2015,3,96,32,"F",13.63048,0.345998,18.265999,0.196675,0.831334,110,1
7531237,"F","pir101",2015,7,43,6.14,"C",5.350222,0.275008,11.078814,0.206053,0.79075,115,1
7531250,"M","pir51",2015,9,33,3.67,"C",11.17398,0.336481,12.874315,0.247915,0.623882,114,1
7531251,"M","pir51",2015,9,33,3.67,"C",11.316436,0.343567,14.676505,0.238312,0.702393,114,1
7531292,"M","pir18",2015,9,67,7.44,"C",8.100179,0.341868,12.47349,0.255555,0.677117,120,1
7531299,"F","pir81",2015,9,111,12.33,"C",11.686453,0.31975,13.251684,0.244776,0.612814,122,1
7531300,"M","pir81",2015,9,111,12.33,"C",12.783661,0.333027,16.912979,0.239424,0.615608,122,1
7532596,"M","pir158",2015,6,30,5,"C",11.503403,0.326635,14.478724,0.233616,0.680167,111,1
7532654,"M","pir64",2015,6,20,3.33,"C",8.866075,0.352503,15.433901,0.241104,0.596721,118,1
7532669,"M","pir154",2015,8,46,5.75,"C",7.202413,0.332197,11.514775,0.24258,0.510396,119,1
7532901,"M","pir134",2015,7,84,12,"C",5.838393,0.319306,12.970024,0.251234,0.685561,120,1
7532906,"F","pir60",2015,7,45,6.43,"C",5.288373,0.309512,14.603251,0.23308,0.593322,120,1
7532907,"M","pir60",2015,7,45,6.43,"C",5.871225,0.331087,13.326011,0.249979,0.601847,120,1
7532926,"M","pir135",2015,9,111,12.33,"C",6.123719,0.348472,13.910875,0.252311,0.624998,121,1
7532930,"M","pir135",2015,9,111,12.33,"C",12.579106,0.338451,10.923703,0.256168,0.665057,121,1
7532939,"M","pir132",2015,9,132,14.67,"C",7.779214,0.321654,16.765566,0.252138,0.498679,119,1
7973080,"F","pir114",2016,5,73,14.6,"F",8.79416122590611,0.309040670427082,16.0851898450468,0.218323630222981,0.59125109986046,128,1
7973082,"M","pir5",2016,5,41,8.2,"F",8.30825606129368,0.33853229658772,11.2375451927005,0.20605931209439,0.738284040835037,127,1
7973083,"M","pir5",2016,5,41,8.2,"C",7.7897727528608,0.332656061557699,11.9997549084476,0.221523231120176,0.802074999391786,127,1
7973089,"M","pir126",2016,4,13,3.25,"C",4.95295485865823,0.356542422326474,12.024453833865,0.242622956398376,0.741544551735361,127,1
7973510,"F","pir135",2016,6,19,3.17,"C",5.0181351866699,0.260979609773619,10.7483400053265,0.232522383068367,0.54777951672731,126,1
7973701,"M","pir28",2016,5,40,8,"C",6.95301637192727,0.346967236227464,14.2794696766826,0.242587875138074,0.555079710827123,130,1
7973717,"M","pir68",2016,6,75,12.5,"C",8.43267587502399,0.323970884641164,15.3136773117203,0.228155067292493,0.645160454258327,131,1
7973734,"F","pir81",2016,6,152,25.33,"C",5.42585701979431,0.320458432392255,17.2354184067531,0.213465745444052,0.514581027813428,132,1
7974041,"F","pir159",2016,7,67,9.57,"C",6.86297290700033,0.310207359819243,15.5583745200815,0.235120939246415,0.483237906641714,115,1
7975138,"M","pir63",2016,4,73,18.25,"C",7.69192681304901,0.337634960359144,11.859443609806,0.245717210771932,0.683174120890877,119,1
