"model","effect","term","estimate","std_error","t_value","95CI_low","95CI_up","group","nb_obs","nb_groups"
"BB","fixed","(Intercept)",-0.6386,0.1838,-3.4733,-1,-0.2754,,,
"BB","fixed","relative_par_load",0.0621,0.0755,0.8228,-0.0853,0.2072,,,
"BB","fixed","hatch_size",-0.0312,0.0757,-0.4116,-0.1804,0.116,,,
"BB","fixed","sexM",0.5107,0.1328,3.8451,0.2516,0.7797,,,
"BB","fixed","periodF",0.7586,0.1561,4.8607,0.4574,1.0706,,,
"BB","fixed","laydate",0.0919,0.0902,1.019,-0.0922,0.2804,,,
"BB","ran_pars","sd__(Intercept)",0.3604,,,0,0.5894,"broodID:year",,127
"BB","ran_pars","sd__(Intercept)",0.453,,,0.2054,0.7163,"year",,19
"BB","ran_pars","sd__Observation",0.6787,,,0.5222,0.8461,"Residual",150,
"BUVC","fixed","(Intercept)",-0.3032,0.1995,-1.5195,-0.7021,0.1256,,,
"BUVC","fixed","relative_par_load",-0.0425,0.0727,-0.5843,-0.1865,0.0978,,,
"BUVC","fixed","hatch_size",-0.1019,0.0737,-1.3832,-0.244,0.0434,,,
"BUVC","fixed","sexM",0.9055,0.1026,8.8215,0.6953,1.1066,,,
"BUVC","fixed","periodF",-0.2089,0.1307,-1.5985,-0.5078,0.0736,,,
"BUVC","fixed","laydate",0.1586,0.0919,1.7252,-0.0193,0.3379,,,
"BUVC","ran_pars","sd__(Intercept)",0.5915,,,0.3314,0.7235,"broodID:year",,127
"BUVC","ran_pars","sd__(Intercept)",0.6529,,,0.4009,0.9679,"year",,19
"BUVC","ran_pars","sd__Observation",0.3708,,,0.2642,0.5666,"Residual",150,
"YB","fixed","(Intercept)",0.0061,0.2019,0.0303,-0.3836,0.4135,,,
"YB","fixed","relative_par_load",-0.0475,0.09,-0.5279,-0.222,0.1253,,,
"YB","fixed","hatch_size",0.0357,0.0797,0.4484,-0.1172,0.1905,,,
"YB","fixed","sexM",-0.0978,0.1445,-0.6768,-0.376,0.1835,,,
"YB","fixed","periodF",0.1163,0.172,0.676,-0.2167,0.4755,,,
"YB","fixed","laydate",0.2528,0.1005,2.5145,0.0371,0.482,,,
"YB","fixed","relative_par_load:hatch_size",-0.1102,0.0581,-1.897,-0.2232,0.0014,,,
"YB","ran_pars","sd__(Intercept)",0,,,0,0.4513,"broodID:year",,128
"YB","ran_pars","sd__(Intercept)",0.5172,,,0.2125,0.8397,"year",,19
"YB","ran_pars","sd__Observation",0.823,,,0.7165,0.9248,"Residual",151,
"YUVC","fixed","(Intercept)",0.3279,0.1709,1.9191,-0.0031,0.6626,,,
"YUVC","fixed","relative_par_load",-0.0823,0.0622,-1.3219,-0.2037,0.0381,,,
"YUVC","fixed","hatch_size",-0.0115,0.063,-0.1818,-0.1373,0.1102,,,
"YUVC","fixed","sexM",0.3544,0.1128,3.1423,0.1311,0.5744,,,
"YUVC","fixed","periodF",-1.0612,0.1354,-7.8402,-1.33,-0.8015,,,
"YUVC","fixed","laydate",0.028,0.078,0.3592,-0.1222,0.1799,,,
"YUVC","ran_pars","sd__(Intercept)",0.1639,,,0,0.5637,"broodID:year",,128
"YUVC","ran_pars","sd__(Intercept)",0.48,,,0.2889,0.7143,"year",,19
"YUVC","ran_pars","sd__Observation",0.6237,,,0.4392,0.7178,"Residual",151,
"YC","fixed","(Intercept)",-0.3477,0.203,-1.7129,-0.7413,0.0592,,,
"YC","fixed","relative_par_load",0.0152,0.0827,0.1836,-0.1469,0.1735,,,
"YC","fixed","hatch_size",-0.0032,0.0834,-0.0384,-0.1618,0.1608,,,
"YC","fixed","sexM",0.3165,0.1531,2.0672,0.0187,0.6132,,,
"YC","fixed","periodF",0.4605,0.1778,2.5901,0.1214,0.8105,,,
"YC","fixed","laydate",0.0159,0.0991,0.1609,-0.1787,0.2084,,,
"YC","ran_pars","sd__(Intercept)",0,,,0,0.4427,"broodID:year",,128
"YC","ran_pars","sd__(Intercept)",0.4775,,,0.2097,0.7812,"year",,19
"YC","ran_pars","sd__Observation",0.8778,,,0.7681,0.9821,"Residual",151,
